date,maxtp,mintp,gmin,rain,cbl,wdsp,hm,ddhm,hg,sun,g_rad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-Jan-00,8,0,-6.3,0.1,1012,7.6,16,220,23,6.4,317,4.65,0.2,0.2,0.1,0.1,-9.2
02-Jan-00,11.3,5.2,-4.7,0.3,1004.8,12,23,220,37,3.6,251,5.1,0.5,0.6,0.3,0.3,-8.5
03-Jan-00,10.5,1.7,0.1,0.3,1000.9,10.9,30,250,41,0,142,5.575,0.5,0.6,0.5,0.5,-7.9
04-Jan-00,8.4,1.6,-4.5,4.3,996.8,13.7,24,250,38,3.9,276,4.45,0.7,0.8,0,-3.2,-10
05-Jan-00,12,4.4,-1.3,0.1,990,21.4,30,210,47,0,88,5.075,1.3,1.8,1.2,1.2,-8.3
06-Jan-00,8.7,3.5,0.8,0,993.3,15.7,30,220,44,5,306,5.625,0.7,0.8,2,2,-7.1
07-Jan-00,10.7,4.4,-1.1,1.3,994,21.7,31,220,47,0,95,6,1.1,1.5,1.7,1.7,-7
08-Jan-00,5.6,1.1,-0.2,0,1001.3,16.4,23,240,33,5.5,320,4.925,0.6,0.7,2.3,2.3,-6
09-Jan-00,5.3,0.4,-2.8,0.1,1013.9,9.8,16,250,21,6.3,351,3.475,0.3,0.3,2.5,2.5,-5.5
10-Jan-00,9.8,2.4,-5.1,0.5,1015.8,13.9,22,210,36,0,132,4.125,0.6,0.8,2.6,2.6,-5.1
11-Jan-00,11.1,0.6,-4.7,7.6,1011.2,8.2,25,210,39,0,62,4.975,0.4,0.6,0,-4.6,-10
12-Jan-00,6.4,0.8,4.3,14.2,1006.5,6,13,330,21,0,53,5.825,0.4,0.5,0,-10,-10
13-Jan-00,5.7,0.5,-2.2,2,1009.7,11.2,19,0,29,5.9,351,4.375,0.4,0.4,0,-1.6,-10
14-Jan-00,4.8,0.6,-1.5,0.1,1021.5,10.9,17,10,25,1.2,198,3.825,0.7,0.9,0.6,0.6,-8.9
15-Jan-00,4.8,-0.9,-6.2,0,1031.1,6,11,10,15,4,249,3.025,0.4,0.5,1,1,-8.1
16-Jan-00,6.7,2.8,-4.6,0,1033.4,6.1,10,290,15,0,154,3.8,0.4,0.5,1.4,1.4,-7.3
17-Jan-00,8.2,5.3,-2,0,1031.4,7.2,12,300,17,2.8,311,4.95,0.3,0.4,1.7,1.7,-6.6
18-Jan-00,7.3,1.3,2.2,0,1029.8,6,10,320,16,0,105,5.575,0.3,0.5,2,2,-5.9
19-Jan-00,6.7,3.9,-3.4,0,1028.7,3.2,6,250,10,0,141,5.375,0.4,0.6,2.5,2.5,-5.2
20-Jan-00,5.5,1.7,1.6,0.1,1026.1,8.1,13,270,18,0.4,260,5.2,0.3,0.4,2.7,2.7,-4.7
21-Jan-00,6.8,0.7,-3.5,0,1024.4,7.9,14,260,19,0.1,181,4.95,0.4,0.6,3.1,3.1,-4.1
22-Jan-00,8.2,3.1,-0.1,0.5,1018.5,13.4,23,260,34,4.2,363,5.025,0.7,0.9,3.3,3.3,-3.6
23-Jan-00,6.5,1.3,-1.8,0,1019,5.8,11,330,16,5.6,418,4.9,0.4,0.5,3.6,3.6,-3.1
24-Jan-00,7.8,-1.4,-1.4,0.3,1017.3,5.7,10,260,13,0.5,260,4.7,0.3,0.4,3.6,3.6,-3
25-Jan-00,1.9,-3.1,-6.8,0.1,1019.8,5.4,9,270,11,0,255,3.75,0.1,0.2,3.6,3.6,-2.8
26-Jan-00,1.2,-1.9,-2.5,0.1,1021.5,4.8,10,260,13,0,251,3.475,0.1,0.2,3.7,3.7,-2.6
27-Jan-00,4.9,-1.1,-3.3,0.1,1015.4,10.4,16,240,22,0,269,3.525,0.2,0.4,3.8,3.8,-2.3
28-Jan-00,10.4,3.8,-0.6,1,997.4,20.7,31,250,42,0,210,4.625,0.5,0.8,3.3,3.3,-2.7
29-Jan-00,11,8,4.4,0.9,989.3,25.6,36,260,51,1,244,6.675,0.9,1.3,3.3,3.3,-2.5
30-Jan-00,11.5,7.7,5,2.7,997.7,23.6,35,250,51,0.2,204,7.3,0.8,1.2,1.4,1.4,-4.3
31-Jan-00,11.8,7.8,5.4,3.4,1002.3,15,28,250,44,0,153,8,0.7,1,0,-1.3,-6.8
01-Feb-00,10.3,3.2,6.5,1.4,1000.3,12.9,22,220,32,0,182,7.85,0.5,0.8,0,-0.9,-7.3
02-Feb-00,9.4,2.1,-1.1,0,1012.1,14.2,23,260,32,5.5,544,6.175,0.8,1.1,0.8,0.8,-6.1
03-Feb-00,10.7,3.9,0.3,1.6,1017.3,10.6,20,230,29,0,202,6.175,0.5,0.7,0,-0.2,-6.8
